iso-datetime,DAYTIME,CLOUDINESS,GHI,DAYTIME_4,DAYTIME_12,DAYTIME_24,CLEARSKY_GHI_24,CLEARSKY_GHI_12,CLEARSKY_GHI_4,CLEARSKY_GHI_0,CLEARSKY_GHI_-4,CLEARSKY_GHI_-12,CLEARSKY_GHI_-24,AZIMUTH_24,AZIMUTH_12,AZIMUTH_4,AZIMUTH_0,AZIMUTH_-4,AZIMUTH_-12,AZIMUTH_-24,LAT,LONG,ALT,GHI_4,GHI_12,GHI_24,station,MASK,MASK_4,MASK_12,MASK_24
2010-04-15 18:00:00,1.0,clear,870.3400000000031,1.0,1.0,1.0,60.955606817745306,641.7242633301158,860.0950942349152,884.0061117439602,847.3258633348318,607.2669031969806,29.863939893546267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,902.0333333333365,615.380000000003,47.28666666666949,BND,1,1,1,1
2010-04-15 18:15:00,1.0,clear,933.8333333333363,1.0,1.0,1.0,105.99061557128775,680.076251126657,871.7346115015985,880.4866697300617,828.9068692591742,564.1830259338107,5.82551346867799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,899.4666666666695,494.2266666666696,20.92000000000282,BND,1,1,1,1
2010-04-15 18:30:00,1.0,clear,896.6133333333364,1.0,1.0,1.0,155.3916760288235,715.5686276088535,879.6204300036302,873.1749568578199,806.932160172626,518.8317150847331,0.012506491261535075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,879.7600000000033,510.5933333333361,2.7933333333361516,BND,1,1,1,1
2010-04-15 18:45:00,1.0,clear,926.0600000000027,1.0,1.0,0.0,206.92685913356922,748.0307572355297,883.7170264538764,862.1044679103878,781.5032276781116,471.4597125373445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,853.6533333333366,477.54000000000286,-4.286666666663848,BND,1,1,1,0
2010-04-15 19:00:00,1.0,clear,902.0333333333365,1.0,1.0,0.0,259.30830013287556,777.3089886296691,884.0061117439602,847.3258633348318,752.738272005262,422.3413147958332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,693.8866666666697,380.9466666666696,-5.8866666666638485,BND,1,1,1,0
2010-04-15 19:15:00,1.0,clear,899.4666666666695,1.0,1.0,0.0,311.7087096324066,803.2664068120716,880.4866697300617,828.9068692591742,720.7721445242402,371.7865713763699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,614.2800000000029,304.57333333333617,-5.9266666666638494,BND,1,1,1,0
2010-04-15 19:30:00,1.0,slightly cloudy,879.7600000000033,1.0,1.0,0.0,363.54093000698356,825.7827702834542,873.1749568578199,806.932160172626,685.7563737016527,320.1555210620045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,642.3933333333367,198.8533333333361,-5.62666666666385,BND,1,1,1,0
2010-04-15 19:45:00,1.0,slightly cloudy,853.6533333333366,1.0,1.0,0.0,414.3527397334139,844.7545636898669,862.1044679103878,781.5032276781116,647.8593689995154,267.88363339619474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,629.7866666666697,212.53333333333612,-5.219999999997186,BND,1,1,1,0
2010-04-15 20:00:00,1.0,variable,693.8866666666697,1.0,1.0,0.0,463.77367490007936,860.0950942349152,847.3258633348318,752.738272005262,607.2669031969806,215.52922678586557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,615.380000000003,223.79333333333616,-5.413333333330518,BND,1,1,1,0
2010-04-15 20:15:00,1.0,variable,614.2800000000029,1.0,1.0,0.0,511.4867212608218,871.7346115015985,828.9068692591742,720.7721445242402,564.1830259338107,163.86631961568293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,494.2266666666696,166.0066666666695,-6.053333333330515,BND,1,1,1,0
2010-04-15 20:30:00,1.0,slightly cloudy,642.3933333333367,1.0,1.0,0.0,557.212612500575,879.6204300036302,806.932160172626,685.7563737016527,518.8317150847331,114.07700837366765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,510.5933333333361,153.22666666666953,-6.219999999997183,BND,1,1,1,0
2010-04-15 20:45:00,1.0,slightly cloudy,629.7866666666697,1.0,1.0,0.0,600.7008166851825,883.7170264538764,781.5032276781116,647.8593689995154,471.4597125373445,68.17049024902829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,477.54000000000286,103.24666666666948,-6.05999999999718,BND,1,1,1,0
2010-04-15 21:00:00,1.0,slightly cloudy,615.380000000003,1.0,1.0,0.0,641.7242633301158,884.0061117439602,752.738272005262,607.2669031969806,422.3413147958332,29.863939893546267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,380.9466666666696,47.28666666666949,-5.9599999999971836,BND,1,1,1,0
2010-04-15 21:15:00,1.0,variable,494.2266666666696,1.0,1.0,0.0,680.076251126657,880.4866697300617,720.7721445242402,564.1830259338107,371.7865713763699,5.82551346867799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,304.57333333333617,20.92000000000282,-6.053333333330513,BND,1,1,1,0
2010-04-15 21:30:00,1.0,variable,510.5933333333361,1.0,1.0,0.0,715.5686276088535,873.1749568578199,685.7563737016527,518.8317150847331,320.1555210620045,0.012506491261535075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,198.8533333333361,2.7933333333361516,-5.893333333330519,BND,1,1,1,0
